Title,User_id,_2,_3,_4,_5
Visual Basic 6 Win32 API Tutorial,A2FXQN5XFUGG1E,2/2,3.0,Extremely Boring to Read but Excellent Content,"The contents of the book deserves a five-star rate, but the extremely boring explanations of the author made me downgraded it to a mere 3-star rate.I started to read the book -approximately four months ago- very excited because the contents of the book is something that has always interested me.After maybe twelve to fifteen pages, I had to stop reading it because the absolute boredom the author transmits with his explanations of the theme.I overcame that boredom and continued to read.The book has excellent examples with which to learn the API from; and the author's knowledge is undeniably outstanding.I have not been able to finish the book yet because the annoying way the author explains -as a consequence, my learning of the API/VB is still truncated.However, my proposition is to finish the book because, I know, needed knowledge will come from it."
Visual Basic 6 Win32 API Tutorial,,1/1,5.0,This book is a classic example of a quality manual for VB.,"So few really good ones have been written (Appleman, etc.). This books ranks with the few. It is layed out well and easy to get through. Topics are dealt with in a candid and straight-forward manner, something so many others lack. I highly recommend it."
Visual Basic 6 Win32 API Tutorial,,1/1,3.0,Reasonable introduction,"Don't expect to be spoon fed with lists of handy API calls! You have to go out and find them yourself. But this book explains where to look, how to declare your calls and the pitfalls to avoid.Some good examples but could have doen with more of them"
Barbie Unbound: A Parody of the Barbie Obsession,A21S2WE8IGGBCB,8/9,5.0,Absolutely hilarious,"Whether you enjoyed Barbies as a child or not, Strohmeyer's text will have you laughing out loud in a room full of strangers. A combination of feminism, politics, and plastic toys may sound odd, but Strohmeyer pulls it together in a very entertaining fashion (no pun intended)."
Barbie Unbound: A Parody of the Barbie Obsession,,5/5,5.0,Barbie Unbound is great!,"Barbie Unboud: A Parody of the Barbie Obsession, is the actual name of the book. In it, Barbie is placed in 40 contemporary and historical situations - Barbie d'Arc, PMS Barbie, Barbie at the Salem Witch Trials, Teenage Pregnant Barbie, etc. The photos are great and the text, which is written as a tongue-in-cheek play guide, is really biting. Great satire on Barbie, her always cheerful smile, that impossible body, all those accessories and the ridiculous idea that all women will grow up pink, pretty and perky. Buy it, it's what you've been waiting for."
Barbie Unbound: A Parody of the Barbie Obsession,,3/3,4.0,"Like Barbie, but need a laugh, then you have to read this!","So your child has Dr. Barbie, Dentist Barbie, Anthropologist Barbie and Equestrian Barbie, but does she have PMS Barbie, and Junkie Barbie? Collecting her is great, but sometimes that perfect plastic body can get annoying and you dream about her being &quot;one of us&quot;. Well, the author has put your imagination to words and pictures for everyone to enjoy! She keeps you laughing and saying &quot;Now that's one doll I have to get!&quot;"
Barbie Unbound: A Parody of the Barbie Obsession,,3/4,5.0,Hilariously satirical and refreshingly iconoclastic!,Hilarious! Sara Strohmeyer has taken satire to a new level. By subverting the fictious doll into something unthinkable (a REAL woman) we understand the dialectical struggle between the dolls already accepted image as a sexist and mysoginst doll and what would happen if she thought about and dealt with real issues. Strohmeyer's parodies are intelligent and insightful as we should question the garbage that mainstream media i.e. &quot;Cosmopollution Magazine&quot; throws up in the face of consumeritis.
Barbie Unbound: A Parody of the Barbie Obsession,A3A5K6HJZ0RBYJ,0/0,4.0,Questioning Barbie,"Sarah Strohmeyer looks at Barbie and asks some questions. Most of them are to do with the implausibility of Barbie, but what if she was real, what are some of the issues she'd have to face. Is Barbie a healthy or an unhealthy image and why don't we have healthy female imagery and Role-Models in our culture. These are the Barbies that would never exist, because they would disturb the corporate mentality of Mattel.In some places it's overdone but you can imagine that Strohmeyer getting angry at Barbie and her images and deciding that she was going to make fun of her rather than just rant a little and feel impotent."
Barbie Unbound: A Parody of the Barbie Obsession,,5/9,2.0,"If You Hate Barbie, You'll Love this book","Since I don't have a quarrel with Mattel's Barbie, I only found this book mildly amusing.The best part of this cynical take off and put down on Barbie, are the photographs of the doll in various unusual settings and costumings--such as &quot;Welfare Queen Barbie&quot;, and &quot;Hot Flash Barbie&quot;, as well as some looks at historical Barbie's such as &quot;Barbie Curie&quot; and &quot;Groovin' Gravity Gallileo Barbie&quot;, to name a few.There are approximately 27 take-offs of different characters Barbie could be, along with an interview with Barbie, and an epilogue entitled &quot;What if Barbie were one of us.&quot;While I agree Barbie is thinner and leggier than a normal woman would be, I don't tend to take this very seriously. She is, after all, only a doll.The invention of Barbie, unfortunately, came too late for me. I do think it good that Mattel has widened the scope of &quot;careers&quot; and &quot;interests&quot; for their Barbie doll.I've never quite understood how popular icons such as Barbie become objects of venom. However, if Barbie is on that list for you, then you should greatly enjoy this book.The book was a bit unclear to me in their layout for each of their Barbie subjects, but no less clear than is Barbie herself. As I've never understood why the doll keeps being re-created always with the name Barbie but with a different descriptive name infront of the Barbie."
The Starter Marriage: A Novel,A3KQ627EN5AS62,9/10,5.0,"touching story, both profound and uplifting","i thought this book was terrific - sensitive and perceptive about a woman's struggle to come to terms with an abrupt reversal in her life, yet very funny at times. the secondary characters are so skilfully and vividly sketched, you can really get involved in their stories too, but it's tess i really cared about. anyone who has experienced a serious break-up (about 98.3 per cent of us - right?) will recognise her, empathise with her and cheer her on to the very end."
The Starter Marriage: A Novel,AK7CAW3N1XZV6,3/3,4.0,Sweet and funny story of a woman's triumph after loss,"If, like me, you've read a lot of books in the ""chick lit"" genre, then you've probably read this story before: woman loses husband and pines for him to come back; woman begins to realize that her marriage wasn't quite what she thought it was; woman starts to enjoy her new-found independence; and finally, woman finds a surprising new love. THE STARTER MARRIAGE pretty much follows this formula, but what it lacks in originality it makes up for in warmth and wit. One added twist here is that the woman in question, Tess, joins a divorce support group, and the although most of the book is told in Tess's first-person voice, each of the eight group sessions are presented from the perspective of William, the group leader. One of the group participants, Carol-Ann, lends quite a bit of humor to the book, and I found myself laughing out loud here and there. Otherwise, the story is somewhat predictable and even a little corny at times, but that doesn't make it bad. Overall, I enjoyed this quick read and would definitely recommend it to others who are interested in this genre."
The Starter Marriage: A Novel,A3T4KN9XO3PIXG,0/0,3.0,Crisp writing,"I am not sure how you identify a marriage of 7 years between people who have been dating/living together for 18 years as a starter marriage. Nor does Harrison make any real effort to have the reader understand the marriage's limitations.In any event, the value in the book resides in its writing, not its plot. The writing is witty and crisp, the dialogue is good, and Harrison knows how to put together effective scenes; moreover, the protagonist is credible, so one doesn't mind the more clich&eacute;d aspects of the plot too much. The ending was a bit too forced, and I wish the camp head hadn't been so good looking and so earnest."
The Starter Marriage: A Novel,A32O4GWGVV9VAG,1/2,2.0,Plodding,"The saddest part of reading this book is that the protagonist puts down unoriginal phrasing (i.e., cliche) while the book relies on a lot of it. It was a bit difficult to take, reading a character abhor bad writing, given the plodding, tiresome writing style of the author. It was too bad because the outline of the story is actually very interesting and with some time and effort could have been a very good novel. In this case, however, the heroine becomes more unattractive as a wife and friend the more you get to know her. She goes to a divorce therapy group but she really needs private psychotherapy. She is the kind of self-absorbed manic-depressive control freak that one never knows what one might say that will be upsetting for her. Because of this, her friendships in the book and her love interests don't ring true, since she is not the type of person who would normally attract a lot of friends as easily as this character does. Also, the family interactions ring false. If it weren't for the divorce survival group sessions, the book would have failed completely, but since they were from the perspective of a workshop leader they give a thread of honesty to the mostly superficial human interactions outside the therapy group. It's almost like she was borrowing from a best-seller from the 90s, Rachel's Holiday by Marion Keyes (which actually was a great book about going to group therapy and the interactions actually ring true) but just didn't understand how to do it right."
The Starter Marriage: A Novel,A2XY7UO3HTBFLF,1/2,4.0,No bitterness here!,"Although you'd expect a book about divorce to be at least somewhat bitter and angry, there's none of that in this book. Though it was sad on occasion, this story is primarily optimistic and heart-warming.If you're relationship is falling apart, if you're divorced or thinking about divorce, this is a must-read, but I'd recommend it as a fun read for just about anyone."
"The Confessions of St. Augustine, ([The black and gold library])",A2OOFX8HTKNDE8,6/9,4.0,A sweeping in depth look at the life of Augustine of Hippo.,"An in depth look at the nature of evil through the personal struggle of the great Augustine of Hippo. The book, written in a prayerful, confessional style (hence the name), reaches to the heights and depths of human emotion and question. A highly recommended read for those searching for clues to some life's endless questions"
"The Confessions of St. Augustine, ([The black and gold library])",A2JA8O5HP8LWI2,0/0,4.0,Fascinating,"It was really cool to read about the analytical and philosophical way that Augustine describes the faith, and how he was drawn to it. On the one hand, he was searching for the truth on a theoretical/academic level. But he was also seaking it on a personal level, and was going through a lot of personal struggles.Reading Augustine's description of his former objectives to Christianity, and the way he overcame these, really strengthened my faith and my understanding."
"The Confessions of St. Augustine, ([The black and gold library])",A23NDZA5ZC8MCF,0/0,5.0,A great theological philosopher and an indepth study,"An open and layman theological address of discovery with emphasis on faith through admittance, repentance and confession. Simply brilliant and a book to be read by all in the faith....and out of it, and more than once. Kindle version very helpful with built in new dictionary at the touch and multicolor note function. A serious theological study for the serious faithful wanting to dig deeper into scripture understanding or philosophical secular study. Highly recommended"
"The Confessions of St. Augustine, ([The black and gold library])",A36JRTSX97XUMY,0/0,5.0,My Review of The Confessions of Saint Augustine,"This is an awesome story of a Mother's (St. Monica) continuous prayer to convert her son (St Augustine) from his sinful ways. We are all sinners but there is salvation that God gives if we repent and believe in God's word. It does not matter how far we have strayed and what sins we have committed that have offended God. God loves each one of us unconditionally. God selected us to be... before we were a twinkle in our parent&#8217;s eyes. God created each one of us in our mother's womb at the moment of conception. God's wish is that we spend eternity with him. All God ask that we serve him, love him and keep His Commandments. It is not easy but God is with us every step of the way. God provides the tools and all we have to do is keep his word. But since we are all sinners because of &#34;Original&#34; sin we need God to show us the way. In Holy Scripture and the Holy Bible God talks to us and we must listen. We should listen because this world and our life here is temporary. Our permanent home is in Heaven. In the case of Saint Augustine he tells he reveals how as a young man he lived a very wretched life. His mother prayed for his conversion. Now his father also was a very sinful man. So his mother prayed for both of them. It took a while but God answered her prayers of a mother and wife and they both were converted and left their sinful lives to live a more pleasing life by keeping God's Commandments. The Confessions of Saint Augustine is a way to tell the world that he was a terrible sinner but now he sins no more. In the confessions he also shows that prayer can be as simple as talking to God. One must remember that God should always be the center of our lives. Some people before making a decision say, &#34;What would God do?&#34; That is the right attitude but we must follow through. We may be very alone here on earth because of our current situation but we should not worry for God is with us. My mother was very religious in life. She is no longer in the visible world but in the invisible world. She would often tell me, &#34;If you are with God nothing can be against you.&#34; I can imagine that Augustine's Mother besides continually praying for Saint Augustine she also encouraged her son to go in the good ways of God. This book also shows that miracles do happen to all who believe in miracles. In conclusion God will not abandon us if we ask for help and our number one goal while here on earth is Heaven. We can get there is we stay close to God. The Confessions of Saint Augustine is a manual of how God's love can make this possible in a heartbeat. Today is Ash Wednesday so at mass ashes were distributed by place a bit on our forehead and saying, &#34;Remember that you are dust and to dust you shall return.&#34; God bless all who repent and believe the gospel for Saint Augustine did and now he is in Heaven where we should all be some day but we must believe in the word of God. ."
"The Confessions of St. Augustine, ([The black and gold library])",AMJ6ZVT8ELMVQ,0/0,3.0,DISAPPOINTING OPTIMIZATION,"The claim of being &#34;optimized&#34; for Kindle is misleading. There is no Table of Contents, so if you want to read a given chapter, as I was assigned to do, you have to guess at about what page number it may be, and then page forward or backward until you find it.The book itself is interesting enough, and worth examining, since it presents the thinking of one of the early intellectual leaders of the Christian Faith."
"The Confessions of St. Augustine, ([The black and gold library])",A2C9TLBP8F7TNC,0/0,5.0,Excellent Work,A very good print of a very important work from a very important author !!! I recommend this for spiritual guidance.
"The Confessions of St. Augustine, ([The black and gold library])",A10XCY9T4GM408,0/0,5.0,Thanks,Needed this book for class and to write a paper. I am not too good at reading in Old English but I used the audiobook on iTunes to follow along and I got it done. Thanks.
"The Confessions of St. Augustine, ([The black and gold library])",A2JXJ0ZOKTSJJO,0/0,5.0,"What are you, goofy?","Hmmm, let me see . . . what can I add to 1800years of scholarly consideration of &#34;The Confessions? Are you nuts!"
"The Confessions of St. Augustine, ([The black and gold library])",AGRZQRU76BWHB,0/0,3.0,Inspiring,"Not for the quick read, a detailed autobiography of this saint's journey from a life of sin to following God's plan."
"The Confessions of St. Augustine, ([The black and gold library])",A1ZR3E3S2Z86WT,0/0,5.0,Excellent,THe book gives much t6o think about. Supports our faith.Not a particular easy read but well worth the time and effort.
"The Confessions of St. Augustine, ([The black and gold library])",AU73UL6P5P21W,4/4,4.0,"Kindle edition: Links to Books I - XIII, but no chapter divisions","The table of contents is keyed to Go to... the separate ""Books."" Within each book there are no chapter headings or divisions, however, and the paragraphs are not numbered. This makes it not so easy to find a specific ""caput"" or chapter (basically a paragraph or so covering a single topic). This is no reason not to buy this edition (translated by Pusey, the Anglican Tractarian) for such a great price, but a person likes to know."
"The Confessions of St. Augustine, ([The black and gold library])",A36K2N527TXXJN,3/3,5.0,Life Changing,"I first came across St. Augustine's ""Confessions"" when I was a freshman in college. It was a monumental experience in terms of both the content of his writing and the freshness and relevance of his writing style. After re-reading them again recently, I am still struck with how contemporary the book feels. Aside from many of its 4th century particularities, the concerns that St. Augustine had and the way he frankly and honestly dealt with them could be lifted from almost any contemporary tell-all autobiography. The biggest exception is the fact that ""Confessions"" is a quintessentially and irreducibly a religious text, and in an age when religious considerations are largely pushed towards the margins of their life stories, it is refreshing and uplifting to see what would a life look like for someone who took them very seriously and committed himself to reorganizing one's whole life around the idea of serving God wholly and uncompromisingly. ""Confessions"" is a very accessible text, and for the most part it does not deal with theological and philosophical issues. The exception is the latter part of the book, which are almost exclusively dedicated to those topics. You may want to skip those at the first reading, but I would encourage you to read them nevertheless. Maybe the very inspiring and uplifting story of St. Augustine's conversion to Christianity can lead you into deeper considerations about your faith or the meaning of life in general. I cannot think of a better introduction to those topics than ""Confessions,"" nor of a better guide than St. Augustine."
"The Confessions of St. Augustine, ([The black and gold library])",A1DPF4DCZLUX64,5/6,3.0,St Augustine,I wish that I was smart enough to follow this Book. I don't have the attention span for this King James type writing but God Bless thoes who do.
"The Confessions of St. Augustine, ([The black and gold library])",A36K2N527TXXJN,2/2,5.0,Life Changing,"I first came across St. Augustine's ""Confessions"" when I was a freshman in college. It was a monumental experience in terms of both the content of his writing and the freshness and relevance of his writing style. After re-reading them again recently, I am still struck with how contemporary the book feels. Aside from many of its 4th century particularities, the concerns that St. Augustine had and the way he frankly and honestly dealt with them could be lifted from almost any contemporary tell-all autobiography. The biggest exception is the fact that ""Confessions"" is a quintessentially and irreducibly a religious text, and in an age when religious considerations are largely pushed towards the margins of their life stories, it is refreshing and uplifting to see what would a life look like for someone who took them very seriously and committed himself to reorganizing one's whole life around the idea of serving God wholly and uncompromisingly. ""Confessions"" is a very accessible text, and for the most part it does not deal with theological and philosophical issues. The exception is the latter part of the book, which are almost exclusively dedicated to those topics. You may want to skip those at the first reading, but I would encourage you to read them nevertheless. Maybe the very inspiring and uplifting story of St. Augustine's conversion to Christianity can lead you into deeper considerations about your faith or the meaning of life in general. I cannot think of a better introduction to those topics than ""Confessions,"" nor of a better guide than St. Augustine."
"The Confessions of St. Augustine, ([The black and gold library])",AUPYP67ZABOS,1/1,4.0,Tough english,"If you are okay with the old time english language, go ahead and buy it. I had a hard time reading the book. I gave up after the first few pages.. I figured I need a translator .. LOL. I guess I cannot read the victorian english language. Nothing wrong with the book or the seller. Just the language of the book."
"The Confessions of St. Augustine, ([The black and gold library])",A1XFA20SA9NZMJ,1/1,3.0,The Confessions of Saint Augustine,"I found the translation hard to read as it is rather archaic, and the format is very hard to use in a discussion group as it does not have chapter and verse notations."
"The Confessions of St. Augustine, ([The black and gold library])",AZDRZLY9RW1YJ,1/1,5.0,From St. Augustine's daily journals,"This book is St. Augustine's journal as he spent time with the Lord. They are his praises, his prayers and his requests. He like David wrote many Psalms to the Lord. It is an interesting book."
"The Confessions of St. Augustine, ([The black and gold library])",A2BIZ3BSRE2Z6Y,1/1,5.0,Kindle,"I have a copy of this book and have been able to go back and forth between the Kindle and the Book itself, and have seen the two are the same! Love it! A Must read for anyone!"
"The Confessions of St. Augustine, ([The black and gold library])",A3GJC7I99C4JMO,11/16,1.0,A low budget publication,"When I bought this audiobook I was expecting something more dramatical and poetical than what Bernard Mayes read. I understand they used an old-fashioned English but quite elegant translation, but the problem is Mr. Mayes reading of it. It is really difficult to follow his way. Also the sound system used for the recording is terrible and make the impression of being low budget. This is not my first Blackstone Audiobook and that is what surprise me!!! I always thought of Blackstone Audiobook as a good-standing alternative to Naxos but now I think they need to keep a more strict eye in their production."
"The Confessions of St. Augustine, ([The black and gold library])",A1F6GZP5GJUT47,13/19,1.0,horrible,"Bernard Mayes mutilates the reading of this wonderful book. He sounds like Gollum from the Lord of the Rings. His reading is just horrible. Some word pronouncements are barely audible, the sounding of the letter s, makes it sound like he has some teeth missing. I am continually having to adjust my sound dial as he is up and down with the sound of his voice. I have no idea why blacstone audio went with this guy."
The magic flute,A2U5NL9MZDQA6M,85/90,3.0,Make sure you're getting the right version!,"I just wanted to warn people thinking of getting this book -- make sure you're getting the one you want! The editorial review for the children's version of &quot;The Magic Flute&quot; refers in part to a Black Dog Opera version -- *that's* the one with the libretto and two CDs. The children's version (retold by Anne Gatti) has only one CD of selections from the opera, and no libretto, just a retelling of the story. I bought the children's version by mistake, based on the editorial review and the customer reviews (some of which also claim that 2 CDs are included), but it turns out these do not refer at all to the children's version.That said, if you're just looking for something for your kids, definitely go for the children's version (ASIN 0811810038). The illustrations are cute, and the text is written to follow along with the CD selections... fine for the age range they indicate. If, however, you want the full libretto with translations, and the full opera on CD, make sure you get the &quot;Black Dog&quot; version which is referenced as &quot;hardcover edition&quot; on the kid's version page. (Hope that makes sense!)"
The magic flute,A2D9IEFJGB483Q,21/23,4.0,Perfect introduction to Opera--3-7 year olds,"This is sheer genius! Put the opera in CD form, and attach a nice picture book for children, and you have a perfect classic. I hope more books like this are on the way. This is a perfect introduction to a masterwork of opera.I confess that ""The Magic Flute"" is my favorite opera. It retells the ancient Freemason legends in opera and dramatic form, so you know that the story is rather primeval and sacred. I am glad, therefore, to see that someone has transposed the story for children. The book and the legend hold up well against ""The Odyssey,"" Shakespeare, and Harry Potter, and the story has an incredible soundtrack to boot.After all, we are really focused on the mysterious music and the incredible love story of Tamino and Pamina, and the trials that keep these two apart. The more I read and ponder the story, and ultimately its esoteric message, the more I love this story.The CD is perfect and without hiss or crackle. The book is geared for a 3-7 year old, and doesn't do the story justice. However, it is a great introduction to this opera."
The magic flute,A5ZUZ49YRDPCV,11/11,5.0,"A Good Introduction To Opera, Outstanding Recording","The Black Dog Opera Library Series had outdone themselves once again. In this 1972 recording of Mozart's last opera, we are treated to a fine performance by fine singers, a fully illustrated book with liner notes and commentary, as well as information useful in biographies on the composer and his time. Mozart was close to his death bed at the time he composed The Magid Flute. He made an opera that could be enjoyed at many levels. At one level, it is a comic, brilliant fairy tale for children, at another level, it is deeply symbolic and layed with Masonic ideals of universal brotherhood and love. Mozart and his librettist were both Freemasons, a religous ""sect"" that was under hot water in 18th century Vienna for its pagan origins and its advocation of ideas of the Enlightenment. The story is about Tamino, a prince who is lost in a strange land (originally, a mystic Egypt), who is rescued from a serpent by three mysterious women and promised the hand of the daughter of the Queen of the Night if he saves her from the wizard Sarastro. Together with the help of the comic bird-catcher, Papageno, he sets out on his adventure. But halfway through the opera, he discovers that he has been deceived. The Queen of the Night is the true villain and Sarastro is really a holy man. After many trials, the forces of evil are defeated and the opera ends blissfully with a victory.Musically and dramatically, it is Mozart's greatest opera. From the striking Overture to the use of dark strings, trumpet and soaring flute passages, the individual arias which express intense emotions to the neverending theme that good triumphs over evil, the Magic Flute stands out as a great opera to begin with for newcomers and a favorite for old time opera fans.In this recording, conductor Wolfgang Sawallisch leads the Bavarian State Orchestra in a highly effective, thoroughly dramatic and sentimental, full interpretation of Mozart's score. Tenor Peter Schreir as Tamino is exceptional, passionate in his aria ""Dies Bildnis"" (This portrait), and again as he plays his flute in ""Wie Stark ist Nicht dein Zauberton"" (How powerful is your music, magic flute), his individual lines in the ensembles and his duet with Pamina as they undergo the final trial of fire. Annelise Rothenberger, a sublime German lyric soprano, is moving in her portrayal of Pamina. She has her moments in this recording. Note how her high, melodic voice seems to come from nowhere as she confronts Sarastro and Tamino for the first time ""Herr! Ich bin zwar Verbrecherin ! (Sir! I am the transgressor). Her aria ""Ach Ich Fuhls"" (O, I feel that happy days have passed) is the finest interpretation, full of pathos and a kind of melancholic madness, as well as her lines in her suicide attempt, finally, she is sublime as a strong woman ready to face trials with Tamino, especially striking when she sings the line ""Tamino!"".Kurt Moll's Sarastro is without question the best. His voice is suited for God. So divine and sonorous and full of grace, his voice is especially noticeable in the aria ""O Isis and Osiris "" and ""In deisen Heilen Hallen""( In these holy halls). Finally, and not to be missed, is Edda Moser's incredible interpretation of the Queen of the Night. You have not heard the true Queen of the Night, until you've heard Edda Moser. She has a Wagnerian intensity and neurosis in her lines, apt and effective for the role of a Queen bent on deception and the murder of her rival, Sarastro. Her aria ""O Zittre Nicht, Mein Lieber Son"" (O tremble not, beloved son"" is full of lyric dramatic passages and coloratura at the end. The vengeance aria ""Der Holle Rache Kocht Meine Herzen ""(Hell's Anger Burns Within My Heart) is full of fire. The way she attacks the dramatic, powerful lines is out of this world and the high F's she escalates are unsurpassed."
