Title,description,authors,publishedDate,categories,ratingsCount
"Sign and Sing Along: Teddy Bear, Teddy Bear!","Presents an illustrated version of a children's song, accompanied by diagrams showing how to form the Signed English signs for each word. On board pages.",,2004-01,['Juvenile Nonfiction'],
Restless Souls : The Making of American Spirituality,"Yoga classes and Zen meditation, New-Age retreats and nature mysticism--all are part of an ongoing religious experimentation that has surprisingly deep roots in American history. Tracing out the country’s Transcendentalist and cosmopolitan religious impulses over the last two centuries, Restless Souls explores America’s abiding romance with spirituality as religion’s better half. Now in its second edition, including a new preface, Leigh Eric Schmidt's fascinating book provides a rich account of how this open-road spirituality developed in American culture in the first place as well as a sweeping survey of the liberal religious movements that touted it and ensured its continued vitality.",['Leigh Eric Schmidt'],2012-09,['Religion'],
How to Answer a Mormon,"A handbook for households confronted by Mormon missionaries. Tells exactly what to expect, what to reply, and how to witness to the Mormons ... right at the door!",['Robert A. Morey'],1983-01-01,['Religion'],
Summer of My German Soldier,"When German prisoners of war are brought to her Arkansas town during World War II, twelve-year-old Patty, a Jewish girl, befriends one of them and must deal with the consequences of that friendship.",['Bette Greene'],1973,['Juvenile Fiction'],40.0
The President and Mom's Apple Pie,"When President Taft comes to town to dedicate the new flagpole, he smells something wonderful, and sets out, with the entire town in tow, to discover from where the enticing scent is coming.",['Michael Garland'],2004-05,['Juvenile Fiction'],1.0
Camera Lucida: Reflections on Photography,"A graceful, contemplative volume, Camera Lucida was first published in 1979. Commenting on artists such as Avedon, Clifford, Mapplethorpe, and Nadar, Roland Barthes presents photography as being outside the codes of language or culture, acting on the body as much as on the mind, and rendering death and loss more acutely than any other medium. This groundbreaking approach established Camera Lucida as one of the most important books of theory on the subject, along with Susan Sontag's On Photography.",['Roland Barthes'],2010-10-12,['Photography'],6.0
Frommer's California 2005 (Frommer's Complete Guides),"You'll never fall into the tourist traps when you travel with Frommer's. It's like having a friend show you around, taking you to the places locals like best. Our expert authors have already gone everywhere you might go—they've done the legwork for you, and they're not afraid to tell it like it is, saving you time and money. No other series offers candid reviews of so many hotels and restaurants in all price ranges. Every Frommer's Travel Guide is up-to-date, with exact prices for everything, dozens of color maps, and exciting coverage of sports, shopping, and nightlife. You'd be lost without us! Completely updated every year (unlike most of the competition), Frommer's Los Angeles features gorgeous full-color photos of the sights and experiences that await you in the City of Angels. Frommer's hits all the highlights, from Hollywood to Malibu, and is on top of the latest developments in this ever-changing city. Our guide is simply much more complete and authoritative than its major competitor. Our author, a lifelong resident, has checked out all the city's best hotels and restaurants in person, and offers honest opinions that will help you find the choices that suit your tastes and budget. You'll also get up-to-the-minute coverage of shopping and nightlife; fun features on everything from celebrity spotting to becoming a TV game-show contestant; in-depth coverage of all the best beaches; excellent maps; and side trips to Disneyland, Santa Barbara, and Palm Springs. Exploring L.A. has never been this fun! Frommer's Los Angeles also includes a color fold-out map and an online directory that makes trip-planning a snap.",['Matthew Poole'],2004-09-17,['Travel'],
Jump-Off Creek,"A widowed homesteader is determined to make a life in the unforgiving mountains of late 19th century Oregon in this “powerful novel of struggle and loss” (Dallas morning News). Acclaimed author Molly Gloss drew on pioneer diaries and old family stories to write this modern Western classic of a solitary woman’s frontier life. In the 1890s, Lydia Sanderson leaves her old life behind and journey’s to Jump-Off Creek to make her way as a homesteader. Enduring the hardships and deprivations of Oregon’s high mountain country, Lydia finds both courage and community in her determination to survive. This “unsparing portrait of pioneer life, recounted simply and without romanticism” displays an “intimate understanding of the harsh physical conditions” of the Western frontier, as well as the methods and practices that made such conditions livable (Publishers Weekly).",['Molly Gloss'],2014-05-20,['Fiction'],8.0
Winter Count,"The death song of the white buffalo...a snowfall of herons alighting on a New York street...A mystic who makes stones rise from the desert floor...the startling disappearance of a river....""Winter Count"" consists of nine intoxicating tales of revelation, singular recorded moments of clarity, magic and overwhelming truth, from the National Book Award-winning author of Arctic Dreams and recipient of the John Burroughs Medal for distinguished natural history writing. Copyright © Libri GmbH. All rights reserved.",['Barry Holstun Lopez'],1993,['Nature'],2.0
A Short History of Ethics: A History of Moral Philosophy from the Homeric Age to the Twentieth Century,A Short History of Ethics has over the past thirty years become a key philosophical contribution to studies on morality and ethics. Alasdair MacIntyre writes a new preface for this second edition which looks at the book 'thirty years on' and considers its impact. A Short History of Ethics guides the reader through the history of moral philosophy from the Greeks to contemporary times. MacIntyre emphasises the importance of a historical context to moral concepts and ideas showing the relevance of philosophical queries on moral concepts and the importance of a historical account of ethics. A Short History of Ethics is an important contribution written by one of the most important living philosophers. Ideal for all philosophy students interested in ethics and morality.,['Alasdair MacIntyre'],2003-07-08,['Philosophy'],
The Starter Marriage: A Novel,"The Starter Marriage and the Future of Matrimony is a pioneering study of first marriages lasting five years or less and ending without children, and of the changing face of matrimony in America. According to the brilliant trend analyst and journalist Pamela Paul, “It’s easy to conclude that the starter marriage trend bodes ill for the state of marriage. After all, we’re getting married, screwing it up, and divorcing—a practice that certainly isn’t strengthening our sense of trust, family, or commitment. But though starter marriages seem like a grim prospect, there is also an upside. For one thing, if people are going to divorce, better to do so after a brief marriage in which no children suffer the consequences.” But are there other consequences of starter marriages? And what causes these marriages to fail in the first place? In today’s matrimania culture, weddings, marriage, and family are clearly goals to which most young Americans aspire. Why are today’s twenty- and thirtysomethings—the first children-of-divorce generation—so eager to get married, and so prone to failure? Are Americans today destined to jump in and out of marriage? At a time when marriage at age twenty-five can mean a sixty-year active commitment, could “serial marriages” be the wave of the future? Drawing on more than sixty interviews with starter marriage veterans and on exhaustive re-search, Pamela Paul explores these questions, putting the issues into social and cultural perspective. She looks at the hopes and motivations of couples marrying today, and examines the conflict between our cultural conception of marriage and the society surrounding it. Most important, this lively and engaging narrative examines what the starter marriage trend means for the future of matrimony in this country—how and why we’ll continue to marry in the twenty-first century.",['Pamela Paul'],2002-04-09,['Social Science'],1.0
Image-Music-Text,"The photographic message.-- Rhetoric of the image.-- The third meaning.-- Diderot, Brecht, Eisenstein.-- Introduction to the structural analysis of narratives.-- The struggle with the angel.-- The death of the author.-- Musica practica.-- From work to text -- Change the object itself -- Lesson in writing -- The grain of the voice -- Writers, intellectuals, teachers.","['Roland Barthes', 'Stephen Heath']",1978-07-01,['Literary Criticism'],
Japanese Art of Reiki,"Reiki techniques originated in Japan, in an intensely spiritual period of that country's history. This fully-illustrated book traces the system's evolution from a spiritual self-development system to a direct hands-on practice. The journey moves from Japan to the USA, out to the world, and back to Japan. Focussing on the basic elements in their historical context, this guide contains beautifully grounded information that captures a unique sense of the system's traditional Japanese roots. The clarity and accessibility of the teachings in the book redefine and strengthen the concept of Reiki as it is practised today.",['Stiene'],2010-05-11,"['Body, Mind & Spirit']",
Assassin of Gor,"Welcome to Gor, a parallel Earth where social norms are exotic and the way of life is brutal. In the fifth book in the Gorean Saga, the deadly assassin Kuurus is intent on a bloody mission of vengeance. His adventure takes him from the caste of the pleasure‑slaves, who are rigorously trained in the rules and techniques of sexual ecstasy, to the brutal arenas where humans participate in deadly hand‑to‑hand combat. He witnesses violence, conflict, and uncertainty, as the inhabitants of Counter‑Earth are forced to confront their destinies . . . no matter how exalted or debased. Rediscover this brilliantly imagined world where men are masters and women live to serve their every desire.",['John Norman'],2014-05,['Fiction'],
Betrayed,"Kundera's essay has been written like a novel. In the course of nine separate sections, the same characters meet and cross paths with each other. Stravinsky and Kafka with their odd friends Ansermet and Brod; Hemingway with his biographer; Janácek with his little nation; and Rabelais with his heirs - the great novelists. In the light of their wisdom this book examines some of the great situations of our time. The moral trial of the twentieth century's art, from Celine to Mayakovsky; the passage of time which blurs the boundaries between the 'I' of the present day and the 'I' of the past; modesty as an essential concept in an age based on the individual and indiscretion which, as it becomes the habit and the norm, heralds the twilight of individualism; the testaments, the betrayed testaments - of Europe, of art, of the art of the novel and of artists.",['Milan Kundera'],2020-11-09,['Literary Collections'],2.0
Journey,"After we’ve come to faith in Christ, God leaves us in this world for a very clear purpose: his own glory. But how are we to glorify God for the rest of our lives? The Bible reveals that God has laid before every Christian two infinite journeys which we are to travel every day: the internal journey of growth into Christlike maturity, and the external journey of worldwide evangelism and missions. This book is a road map for the internal journey, laying out how we are to grow in four major areas: knowledge, faith, character, and action. In this book, we’ll learn how God grows us in knowledge, faith, character, and action. We’ll also discover that spiritual knowledge constantly feeds our growing faith, faith will transform our character, our transformed character will result in an array of actions more and more glorifying to God, and our actions will feed our spiritual knowledge. This upward spiral will lead us to become more and more like Jesus Christ in holiness. And not only will this book help us understand Christian growth in detail, it will also give us a passion to grow every day for his glory.",['Dr. Andrew M. Davis'],2014-01-09,['Religion'],
Embroidered Treasures for Children,"Cuddly animals frisking along a crisp cotton sheet... Delicate flowers dancing across a soft flannel blanket... A rosy-faced rag doll... A jolly pirate puppet... All the innocence and joy of childhood are captured in the charming projects gathered in Embroidered Treasures for Children. Featuring easy-to-follow, step-by-step instructions and illustrated with beautiful color photographs, this collection offers crafters of all levels 22 adorable projects to make for the babies and children in their lives. Some of the fresh, contemporary projects in the book can be completed in a day or two and are perfect for the novice, while other, more difficult pieces will be both fun and challenging for experienced embroiderers. A basic techniques section ensures satisfying results for all. From a whale-and-dolphin beach bag to so-soft slippers, each project is sure to delight both the adult who makes it and the child who uses it. Creating such a treasure is a gesture of love, one that will be cherished by the young recipient forever.",['Claire Garland'],2005-11-01,['Crafts & Hobbies'],
A Woman of Substance,The unputdownable multi-million copy bestseller charting the rags to riches story of Emma Harte,['Barbara Taylor Bradford'],2009-11-12,['Fiction'],10.0
Communication and Concurrency (Prentice Hall International Series in Computer Science),Mathematics of Computing -- Parallelism.,['Robin Milner'],1989,['Mathematics'],
Have You Got My Purr?,"Little Kitten's purr is missing! So Little Kitten sets off in search of it on the farm. Cow hasn't got it and neither has Sheep. Wherever can it be? My First Storybooks are perfect for reading aloud andsharing with your special little one. With simple, easy-to-follow stories,these shiny, padded-cover books introduce fun vocabulary and have bright engagingpictures throughout.","['Judy West', 'Tim Warnes']",2014-05-05,['Animal sounds'],3.0
Unit Origami: Multidimensional Transformations,"With more than 250 projects of many different types and levels of difficulty, this bestselling, encyclopedic work contains traditional and modern paper-folding methods, and includes folds for the beginner and works calculated to challenge the experts.",['Kunihiko Kasahara'],1998,['Cooking'],
"American Theocracy: The Peril and Politics of Radical Religion, Oil, and Borrowed Money in the 21stCentury","An explosive examination of the coalition of forces that threatens the nation, from the bestselling author of American Dynasty In his two most recent bestselling books, American Dynasty and Wealth and Democracy, Kevin Phillips established himself as a powerful critic of the political and economic forces that rule—and imperil—the United States, tracing the ever more alarming path of the emerging Republican majority’s rise to power. Now Phillips takes an uncompromising view of the current age of global overreach, fundamentalist religion, diminishing resources, and ballooning debt under the GOP majority. With an eye to the past and a searing vision of the future, Phillips confirms what too many Americans are still unwilling to admit about the depth of our misgovernment.",['Kevin Phillips'],2006-03-21,['Political Science'],17.0
Dress Your Family in Corduroy and Denim,"'No one has a turn of phrase like David Sedaris. This series of essays about his life and family is a joy from start to finish' Adam Kay David Sedaris plays in the snow with his sisters. He goes on vacation with his family. He gets a job selling drinks. He attends his brother's wedding. He mops his sister's floor. He gives directions to a lost traveller. He eats a hamburger. He has his blood sugar tested. It all sounds so normal, doesn't it? In his new book David Sedaris lifts the corner of ordinary life, revealing the absurdity teeming below its surface. His world is alive with obscure desires and hidden motives - a world where forgiveness is automatic and an argument can be the highest form of love. Dress Your Family in Corduroy and Denim finds one of the wittiest and most original writers at work today at the peak of his form.",['David Sedaris'],2010-09-16,['Humor'],116.0
The Other Boleyn Girl,"The daughters of a ruthlessly ambitious family, Mary and Anne Boleyn are sent to the court of Henry VIII to attract the attention of the king, who first takes Mary as his mistress, in which role she bears him an illegitimate son, and then Anne as his wife. Reprint. 250,000 first printing. (A Columbia Pictures film, written by Peter Morgan, directed by Justin Chadwick, releasing Fall 2007, starring Natalie Portman, Scarlett Johansson, Eric Bana, and others) (Historical Fiction)",['Philippa Gregory'],2008-01-22,['Fiction'],285.0
"Karmic Palmistry: Explore Past Lives, Soul Mates, & Karma","Readers will learn how to determine their individual karmic cycle, discover ways to maximize the quality of their life, explore past lives, choose a satisfying career, find soul mates, and assure a happier future through palm reading. 66 illustrations.",['Jon Saint-Germain'],2003,"['Body, Mind & Spirit']",
Inventing the 20th Century: 100 Inventions That Shaped the World,"Dishwashers, electric light bulbs, gramophones, motion picture cameras, radios, roller skates, typewriters. While these inventions seem to speak of the 20th century, they all in fact date from the 19th century. The Victorian age (1837-1901) was a period of enormous technological progress in communications, transport, and many other areas of life. Illustrated by the original patent drawings from The British Library's extensive collection, this attractive book chronicles the history of the one hundred most important, innovative, and memorable inventions of the 19th century. The vivid picture of the Victorian age unfolds as inventions from the ground-breaking—such as aspirin, dynamite, and the telephone—to the everyday—like blue jeans and tiddlywinks—are revealed decade by decade. Together they provide a vivid picture of Victorian life. This follow-up volume to Stephen van Dulken’s acclaimed Inventing the 20th Century will be compelling reading to anyone interested in inventors and the “age of machines.” From the cash register to the safety pin, from the machine gun to the pocket protector, and from lawn tennis to the light bulb, Inventing the 19th Century is a fascinating, illustrative window into the Victorian Age.",['Stephen van Dulken'],2006-11-01,['History'],
Adventures at Tall Oaks: New Friends,"A fantasy book about two siblings without any special powers, who find adventures in their back yard when there is a power outage at their house. They build a tree house, cross an ocean-size puddle, find names for dwarf elephants, and do many other things any 4-12 year old can do in his/her own back yard. High quality paper, big font, colorful illustrations. Read it to your younger children, a 6 year old will be able to read on his/her own. Old values, gentle humor and a lot of imagination. Fun for both parents and children.",['Elena Pavlova'],2004-08-01,['Juvenile Fiction'],
Dark Carnival,,['Ray Bradbury'],2001-10-01,['Fiction'],1.0
Complying with the Americans with Disabilities Act in Maine,,"['Patricia M. McDonough', 'Linda D. McGill', 'Harry R. Pringle']",1991,['Discrimination against people with disabilities'],
"Lord Jim,: A tale (The works of Joseph Conrad. The uniform ed)","Writing near the peak of the British Empire, Conrad drew on the national experiences of his native Poland—during nearly all his life, parceled out among three occupying empires—and on his own experiences in the French and British merchant navies, to create short stories and novels that reflect aspects of a European-dominated world—including imperialism and colonialism—and that profoundly explore the human psyche. Conrad is considered a literary impressionist by some and an early modernist by others, though his works also contain elements of 19th-century realism. His narrative style and anti-heroic characters have influenced numerous authors. Many dramatic films have been adapted from and inspired by his works. Numerous writers and critics have commented that his fictional works, written largely in the first two decades of the 20th century, seem to have anticipated later world events. The Novels and Novellas ALMAYER’S FOLLY AN OUTCAST OF THE ISLANDS THE NIGGER OF THE NARCISSUS LORD JIM THE INHERITORS TYPHOON HEART OF DARKNESS ROMANCE NOSTROMO THE SECRET AGENT UNDER WESTERN EYES CHANCE VICTORY THE SHADOW-LINE THE ARROW OF GOLD THE RESCUE THE NATURE OF A CRIME THE ROVER SUSPENSE The Short Stories THE BLACK MATE THE IDIOTS THE LAGOON AN OUTPOST OF PROGRESS THE RETURN KARAIN: A MEMORY YOUTH FALK AMY FOSTER TO-MORROW THE END OF THE TETHER GASPAR RUIZ THE INFORMER THE BRUTE AN ANARCHIST THE DUEL IL CONDE A SMILE OF FORTUNE THE SECRET SHARER FREYA OF THE SEVEN ISLES PRINCE ROMAN THE PLANTER OF MALATA THE PARTNER THE INN OF THE TWO WITCHES BECAUSE OF THE DOLLARS THE WARRIOR'S SOUL THE TALE The Memoirs THE MIRROR OF THE SEA A PERSONAL RECORD Collected Essays",['Joseph Conrad'],2022-07-11,['Fiction'],
"Gather, Darkness!","From a Grand Master of Science Fiction and Fantasy: In a post-apocalyptic future, a priest must fight the forces of evil in order to bring freedom to humanity. Three-hundred and sixty years after a nuclear holocaust ravaged mankind, the world is fraught with chaos and superstition. Endowed with scientific knowledge lost to the rest of humanity, Techno-priests of the Great God now rule. Jarles, originally of peasant descent, rises to become a priest of the Great God. He knows that the gospel is nothing but trickery propagated by non-believers. One day, he defies his priestly training and attempts to incite the peasants to rebel—but Jarles is not the only dissenter trying to bring down the priesthood—witchcraft is slowly gaining strength and support among the populace. Little does Jarles know his rebellion is about to throw him headlong into the middle of the greatest holy war the world has ever seen.",['Fritz Leiber'],2014-04-01,['Fiction'],5.0
The long season,A National League pitcher records his experience during one championship season,['Jim Brosnan'],1983,['Sports & Recreation'],2.0
Mother India,"A new edition of Mayo's controversial 1927 book, with commentary that sheds new light on Indian nationalism of this period",['Katherine Mayo'],2000,['History'],1.0
"Killer on the Loose, The True Story of Serial Killer Raymond Lee Stewart",,['Greg Kelly'],1999-02-01,['True Crime'],
"Vocabulary Workshop Test Booklet, Form B (Level F)",,"['Jerome Shostak', 'William H. Sadlier Staff']",2002-06-30,['Education'],
Race for the World: Strategies to Build a Great Global Firm,,['Lowell et al Bryan'],1999,,
Death At The Crossroads,"Matsuyama Kaze is a ronin, or masterless samurai. Kaze must travel across Japan until he fulfills a promise made to his dying Lord and Lady -- to find their nine-year-old daughter.",['Dale Furutani'],1999,['Japan'],3.0
"Or hara'ayon = The Jewish Idea, Volume 2, indexes to both volumes","Or Hara'ayon - The Jewish Idea More than an other book written by Rabbi Meir Kahane, Or Hara'ayon, The Jewish Idea, expresses the axioms which were the essence of his being. When a terrorist put an end to his life in 1990, he was in the process of completing this major work. The fundamentals of Jewish faith which he set forth in this volume, such as humility, faith and trust, kindness, revenge, self-sacrifice, and sanctifying G-d's name, were not abstract theories but the day-to-day guidelines of his life.While most widely known for his Jewish activism and controversial beliefs, The Jewish Idea reveals the erudite scholarship and mastery of Torah which was the source of Rabbi Kahane's untiring activities.The novelty of The Jewish Idea is not in the newness of the topics discussed, but rather in the unique manner in which they are presented. The total, unreserved compliance to G-d's will without any personal considerations, and the willingness to sacrifice for the Jewish People, permeate each and every chapter of the book. Originally written in a rich Hebrew, and culled from the holy words of the Torah, the Talmud, the Midrash and commentaries, the book was first published posthumously in Israel by the Institute for Publication of the Writings of Rabbi Meir Kahane. The Jewish Idea will surely take its place in the library of outstanding Torah thought.",['Meir Kahane'],2013-03-06,,
The Hustons,"In this candid biography Lawrence Grobel chronicles the remarkable story of the Huston family, which boasts three Oscar winners, from Walter to John to Anjelica, with particular attention to the rich career and tumultuous personal life of director/actor John Huston (1906-1987). This updated edition covers Anjelica's stormy relationship with Jack Nicholson, her liberating marriage to artist Robert Graham, the exploits of her brothers Tony and Danny, the mysterious silence of Maricela, John's last love interest and more. Skyhorse Publishing, along with our Arcade, Good Books, Sports Publishing, and Yucca imprints, is proud to publish a broad range of biographies, autobiographies, and memoirs. Our list includes biographies on well-known historical figures like Benjamin Franklin, Nelson Mandela, and Alexander Graham Bell, as well as villains from history, such as Heinrich Himmler, John Wayne Gacy, and O. J. Simpson. We have also published survivor stories of World War II, memoirs about overcoming adversity, first-hand tales of adventure, and much more. While not every title we publish becomes a New York Times bestseller or a national bestseller, we are committed to books on subjects that are sometimes overlooked and to authors whose work might not otherwise find a home.",['Lawrence Grobel'],2014-07-01,['Performing Arts'],
"Peter the Great, (Makers of history)",,['Jacob Abbott'],1887,['Russia'],1.0
Murder in Georgetown,"When one of journalism professor George Albert Brown's senior students is murdered, the others, determined to find the killer themselves, turn up clues of their own--including a tie to the South African government",['Margaret Truman'],1987,['Fiction'],1.0
Glastonbury: The Novel of Christian England,"This epic fictional portrayal of the indomitable faith of Christian England sweeps through 1,500 years of tumultuous history from the birth of Christ to the events leading to the Reformation. Copyright © Libri GmbH. All rights reserved.",['Donna Fletcher Crow'],1992,['Fiction'],2.0
Looking Backward,Complete and unabridged paperback edition.,['Edward Bellamy'],2021-02-22,,
Dinosaur Wars: Counterattack,"Now humans are the endangered species. Intelligent dinosaurs have returned from outer space to claim their home world—our world!Wolf biologist Chase Armstrong and rancher's daughter Kit Daniels are at the center of the action again as war for domination of the earth continues. The Kra, dinosaurian invaders from space, have no place for humanity—except on the menu!An action-packed adventure story, COUNTERATTACK is filled with huge beasts of the past, intelligent dinosaurs, US tanks and submarines, and two young heroes who may find love—if they survive long enough! Action, start-to-finish, with well researched dinosaurs. A fun read, good for all ages.",['Thomas P. Hopp'],2014-01-11,['Fiction'],
The magic flute,"A comprehensive guide to Mozart's THE MAGIC FLUTE, featuring insightful and in depth Commentary and Analysis, a complete, newly translated Libretto with German/English translation side-by side, and over 30 music highlight examples.","['Wolfgang Amadeus Mozart', 'Burton D. Fisher']",2005-07-01,['Music'],
The Golden Ocean,,"[""Patrick O'Brian""]",1970,,1.0
